Metric,n_pairs,MiniLM_mean,MPNet_mean,Mean_difference_MPNet_minus_MiniLM,SD_difference,Median_difference,Mean_absolute_difference,Pearson_r,Pearson_p,Spearman_rho,Spearman_p,Paired_t_stat,Paired_t_p,Wilcoxon_stat,Wilcoxon_p
n_sentences,100,12.55,12.55,0.0,0.0,0.0,0.0,0.9999999999999998,0.0,1.0,0.0,,,0.0,
mean_label_confidence,100,0.9796253101164404,0.9796253101164404,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,0.0,
mean_local_similarity,100,0.3214888697469388,0.3761505426270574,0.0546616728801185,0.0304677976577565,0.0578081519766287,0.0555497776355499,0.9549951062875274,1.5873231302927383e-53,0.9185598559855984,2.742783136465431e-41,17.94080211971036,7.054111055710738e-33,36.0,1.1485179010089616e-17
min_local_similarity,100,0.0271867054840549,0.0672640705434605,0.0400773650594055,0.0478803104456714,0.0388368994463234,0.0489830588642507,0.9015148474129084,1.996663072263037e-37,0.717995799579958,4.204472825454101e-17,8.37032272480361,3.8375368991666987e-13,556.0,1.2872756011754989e-11
local_similarity_volatility,100,0.2181056808942572,0.2240617246627876,0.0059560437685303,0.0228445419404738,0.0082307342460496,0.0186304965910105,0.9321900303642284,4.8404777430376944e-45,0.9316411641164116,7.090006057447514e-45,2.607206475861972,0.0105393252353705,1667.0,0.0031768886430561
local_discontinuity_burden,100,0.1604912164289098,0.1704755562205252,0.0099843397916153,0.0631046800619428,0.0,0.0387191768499818,0.6747305071598841,1.3939945246946082e-14,0.658892113087777,9.198126253880736e-14,1.5821868967269646,0.1167965216667109,324.5,0.1692207986759105
within_role_discontinuity_burden,100,0.0844940245083433,0.0884114275817062,0.0039174030733628,0.0498877583376816,0.0,0.028004896848937,0.6983458703106659,6.667042546970533e-16,0.6908282310560039,1.810838697623399e-15,0.785243355062498,0.4341860904850901,225.5,0.3241321414847659
mean_similarity_to_opening_anchor,100,0.4598528579600592,0.5063796358558382,0.046526777895779,0.0249096191103938,0.0453669922889897,0.0480388381580418,0.96477892679582,1.2194572735441276e-58,0.9546474647464744,2.2950131427887764e-53,18.67823738676327,3.2185638031538733e-34,87.0,5.175535327228704e-17
final_similarity_to_opening_anchor,100,0.4801528304209932,0.5238602336822078,0.0437074032612145,0.0365631592190549,0.0420065596699714,0.0480747681111097,0.978161675549311,1.1302809880102623e-68,0.9535073507350732,7.537549137998531e-53,11.95394604699157,6.4364678220455786e-21,231.0,3.0825769860154192e-15
mean_similarity_to_own_role_anchor_loo,100,0.3827964231878957,0.441466021549781,0.0586695983618853,0.0328371290344073,0.0594520312733948,0.0601818062705299,0.9542420680860588,3.5150188017850966e-53,0.94018601860186,1.2563048153107318e-47,17.866847707791464,9.650395590683915e-33,43.0,1.4146791640488978e-17
within_Methods_similarity,96,0.2536575567590752,0.3310973450867182,0.0774397883276429,0.0527951232812306,0.075238714615504,0.0803733033435289,0.9256089711228348,1.919586362781274e-41,0.9095089527943572,1.312979142958329e-37,14.371627938544728,1.4615146696476396e-25,66.0,1.3846927272601843e-16
within_Results_similarity,95,0.3555345735024993,0.3981791909940467,0.0426446174915472,0.0617882910105266,0.0416741664743139,0.0594724538628519,0.930536626444702,2.359226402004131e-42,0.9033314669652855,5.927048438054191e-36,6.726975448023662,1.3417414113199396e-09,629.0,8.883422035404065e-10
conclusion_to_aim_alignment,91,0.6246312326127357,0.660145551948757,0.0355143193360213,0.0542822944339364,0.0383127927780152,0.0526080413179083,0.9419588625655856,5.811903116950831e-44,0.9380952380952382,9.398165471225084e-43,6.241169755177167,1.395957386029674e-08,682.0,2.3423163718834133e-08
conclusion_to_results_alignment,99,0.5604300980616097,0.6160178217622969,0.0555877237006871,0.0527731241753951,0.0468440055847168,0.0602535783040403,0.9386304106049116,1.2404790122261147e-46,0.932034632034632,1.4962952353117888e-44,10.48054054099849,1.0992112180786764e-17,261.0,1.0967781283111496e-14
results_to_methods_alignment,100,0.5507567373663187,0.6215542034804821,0.0707974661141634,0.0528726482085739,0.0693572461605072,0.0745606929808855,0.9137238457479084,4.114165126033716e-40,0.9127392739273926,7.002640228595952e-40,13.390187273177414,5.9828952833027384e-24,131.0,1.8511572479713263e-16
methods_to_aim_alignment,92,0.5170585943143005,0.563875412001558,0.0468168176872574,0.0582756931412254,0.0426414012908935,0.0591051373630762,0.9311876404791164,3.2429947537538243e-41,0.9182066180663656,5.786388980247587e-38,7.705633617831644,1.551583813209022e-11,438.0,3.5075058853554905e-11
results_to_aim_alignment,92,0.4960594335975854,0.5429802932169127,0.0469208596193272,0.0616479633095416,0.0489464700222015,0.0627849850317706,0.9358787476610796,1.5008352021848226e-42,0.9276852180077988,2.8008790713874357e-40,7.300307279688241,1.0480592197338953e-10,590.0,1.6229881234229802e-09
conclusion_to_background_plus_aim_alignment,99,0.6141577060475494,0.6556405286596279,0.0414828226120785,0.0439511131503486,0.0390487313270568,0.0498881016415779,0.9562488403331252,1.407722772603302e-53,0.9465058750773035,1.9166851306465315e-49,9.391090326551396,2.539246080870248e-15,448.0,1.4964569800629158e-12
conclusion_plus_future_to_background_plus_aim_alignment,99,0.6188938379889787,0.6600621168059532,0.0411682788169745,0.0443826245859697,0.0390065908432006,0.0498216143160155,0.9561992977352348,1.485400902029105e-53,0.939294990723562,7.433051191575853e-47,9.229269474780253,5.698332342565331e-15,443.0,1.3193090881309365e-12
