Metric,Scheme,Column,Dataset,n_total_abstracts,n_available,n_missing,proportion_available
Within-Results similarity,role,within_Results_similarity,Review,50,49,1,0.98
Within-Results similarity,role,within_Results_similarity,Clinical,50,46,4,0.92
Within-Results similarity,tertile,tertile__within_results_analogue,Review,50,50,0,1.0
Within-Results similarity,tertile,tertile__within_results_analogue,Clinical,50,50,0,1.0
Within-Results similarity,quintile,quintile__within_results_analogue,Review,50,50,0,1.0
Within-Results similarity,quintile,quintile__within_results_analogue,Clinical,50,47,3,0.94
Within-Results similarity,template,template__within_Results_similarity,Review,50,50,0,1.0
Within-Results similarity,template,template__within_Results_similarity,Clinical,50,50,0,1.0
Conclusion-Results alignment,role,conclusion_to_results_alignment,Review,50,50,0,1.0
Conclusion-Results alignment,role,conclusion_to_results_alignment,Clinical,50,49,1,0.98
Conclusion-Results alignment,tertile,tertile__conclusion_results_analogue,Review,50,50,0,1.0
Conclusion-Results alignment,tertile,tertile__conclusion_results_analogue,Clinical,50,50,0,1.0
Conclusion-Results alignment,quintile,quintile__conclusion_results_analogue,Review,50,50,0,1.0
Conclusion-Results alignment,quintile,quintile__conclusion_results_analogue,Clinical,50,50,0,1.0
Conclusion-Results alignment,template,template__conclusion_to_results_alignment,Review,50,50,0,1.0
Conclusion-Results alignment,template,template__conclusion_to_results_alignment,Clinical,50,50,0,1.0
Opening-frame return,role,final_similarity_to_opening_anchor,Review,50,50,0,1.0
Opening-frame return,role,final_similarity_to_opening_anchor,Clinical,50,50,0,1.0
Opening-frame return,tertile,tertile__final_similarity_to_opening_analogue,Review,50,50,0,1.0
Opening-frame return,tertile,tertile__final_similarity_to_opening_analogue,Clinical,50,50,0,1.0
Opening-frame return,quintile,quintile__final_similarity_to_opening_analogue,Review,50,50,0,1.0
Opening-frame return,quintile,quintile__final_similarity_to_opening_analogue,Clinical,50,50,0,1.0
Opening-frame return,template,template__final_similarity_to_opening_anchor,Review,50,50,0,1.0
Opening-frame return,template,template__final_similarity_to_opening_anchor,Clinical,50,50,0,1.0
Methods-Aim alignment,role,methods_to_aim_alignment,Review,50,47,3,0.94
Methods-Aim alignment,role,methods_to_aim_alignment,Clinical,50,45,5,0.9
Methods-Aim alignment,tertile,tertile__methods_aim_analogue,Review,50,50,0,1.0
Methods-Aim alignment,tertile,tertile__methods_aim_analogue,Clinical,50,50,0,1.0
Methods-Aim alignment,quintile,quintile__methods_aim_analogue,Review,50,50,0,1.0
Methods-Aim alignment,quintile,quintile__methods_aim_analogue,Clinical,50,50,0,1.0
Methods-Aim alignment,template,template__methods_to_aim_alignment,Review,50,50,0,1.0
Methods-Aim alignment,template,template__methods_to_aim_alignment,Clinical,50,48,2,0.96
Results-Aim alignment,role,results_to_aim_alignment,Review,50,47,3,0.94
Results-Aim alignment,role,results_to_aim_alignment,Clinical,50,45,5,0.9
Results-Aim alignment,tertile,tertile__results_aim_analogue,Review,50,50,0,1.0
Results-Aim alignment,tertile,tertile__results_aim_analogue,Clinical,50,50,0,1.0
Results-Aim alignment,quintile,quintile__results_aim_analogue,Review,50,50,0,1.0
Results-Aim alignment,quintile,quintile__results_aim_analogue,Clinical,50,50,0,1.0
Results-Aim alignment,template,template__results_to_aim_alignment,Review,50,50,0,1.0
Results-Aim alignment,template,template__results_to_aim_alignment,Clinical,50,48,2,0.96
