embedding_model_label,outcome,count_variable,n,pearson_r,pearson_p,spearman_rho,spearman_p
MPNet,within_Results_similarity,n_Results,95,0.0048881389491088,0.9625026756110436,0.0183805181976107,0.8596698865615134
MPNet,within_Results_similarity,n_Methods,95,-0.0322820351402904,0.7561336580702106,-0.054845984753205,0.5975733697581244
MPNet,within_Results_similarity,n_sentences,95,-0.0134159791728319,0.8973279680161361,-0.0209925992086931,0.8399760624957533
MPNet,within_Results_similarity,log_n_Results,95,0.0044191707275539,0.96609792654329,0.0183805181976107,0.8596698865615134
MPNet,within_Results_similarity,log_n_Methods,95,-0.0522950996584534,0.6147487762266659,-0.054845984753205,0.5975733697581244
MPNet,within_Results_similarity,log_n_sentences,95,-0.01576423759054,0.8794818315862047,-0.0209925992086931,0.8399760624957533
MPNet,within_Methods_similarity,n_Results,96,-0.2341517697766181,0.0216658053372347,-0.2662469722432045,0.0087412299169784
MPNet,within_Methods_similarity,n_Methods,96,-0.1953863779283314,0.0564247472866227,-0.1253082794720577,0.2238007000005761
MPNet,within_Methods_similarity,n_sentences,96,-0.2900707334335158,0.0041467186504123,-0.2713658274224417,0.0074867016826039
MPNet,within_Methods_similarity,log_n_Results,96,-0.2176135169202324,0.0331854331703516,-0.2662469722432045,0.0087412299169784
MPNet,within_Methods_similarity,log_n_Methods,96,-0.2044621181444209,0.0456915207314849,-0.1253082794720577,0.2238007000005761
MPNet,within_Methods_similarity,log_n_sentences,96,-0.3025499828940965,0.0027346431919968,-0.2713658274224417,0.0074867016826039
MPNet,conclusion_to_results_alignment,n_Results,99,0.3013514050856644,0.0024364703631981,0.3058270155028574,0.0020811044079965
MPNet,conclusion_to_results_alignment,n_Methods,99,-0.0363185234199131,0.7211718243068131,-0.0481776416174647,0.6358218196373668
MPNet,conclusion_to_results_alignment,n_sentences,99,0.1895627963089486,0.0602105147292541,0.1810652035920568,0.072884790942577
MPNet,conclusion_to_results_alignment,log_n_Results,99,0.3591840384817352,0.0002611424262791,0.3058270155028574,0.0020811044079965
MPNet,conclusion_to_results_alignment,log_n_Methods,99,-0.0197070887387522,0.8464800566810553,-0.0481776416174647,0.6358218196373668
MPNet,conclusion_to_results_alignment,log_n_sentences,99,0.1757228175619521,0.0818977408992269,0.1810652035920568,0.072884790942577
MiniLM,within_Results_similarity,n_Results,95,-0.0054364113986452,0.9583004107097484,0.0196862770602516,0.8498135740980148
MiniLM,within_Results_similarity,n_Methods,95,-0.0675097702108978,0.5156694707716143,-0.072903719260883,0.482613155753657
MiniLM,within_Results_similarity,n_sentences,95,-0.0640575444957952,0.5374166389578786,-0.0933845307791021,0.3680567047482639
MiniLM,within_Results_similarity,log_n_Results,95,-0.0077375302160002,0.9406771173239776,0.0196862770602516,0.8498135740980148
MiniLM,within_Results_similarity,log_n_Methods,95,-0.0931658084835054,0.3691845105923648,-0.072903719260883,0.482613155753657
MiniLM,within_Results_similarity,log_n_sentences,95,-0.0656823265935043,0.5271251752837939,-0.0933845307791021,0.3680567047482639
MiniLM,within_Methods_similarity,n_Results,96,-0.2178269433521876,0.0330090569664306,-0.2145821675821897,0.0357774453260253
MiniLM,within_Methods_similarity,n_Methods,96,-0.2139378808483039,0.0363497083896166,-0.1238765819916781,0.2291790931814612
MiniLM,within_Methods_similarity,n_sentences,96,-0.3191041251908663,0.0015302126742172,-0.2822059247784193,0.0053415451823997
MiniLM,within_Methods_similarity,log_n_Results,96,-0.2085244531392969,0.0414679017748886,-0.2145821675821897,0.0357774453260253
MiniLM,within_Methods_similarity,log_n_Methods,96,-0.2288515018825735,0.0249124476168011,-0.1238765819916781,0.2291790931814612
MiniLM,within_Methods_similarity,log_n_sentences,96,-0.3450636419773379,0.0005752576292608,-0.2822059247784193,0.0053415451823997
MiniLM,conclusion_to_results_alignment,n_Results,99,0.2830245798958078,0.0045315191917889,0.2955309524578112,0.0029800749958271
MiniLM,conclusion_to_results_alignment,n_Methods,99,-0.0666049730991653,0.5124532905504721,-0.0784285718573849,0.4403315889740904
MiniLM,conclusion_to_results_alignment,n_sentences,99,0.1880951576724085,0.0622609503037741,0.166629708870242,0.0992635287835024
MiniLM,conclusion_to_results_alignment,log_n_Results,99,0.3333406351040631,0.0007474757481935,0.2955309524578112,0.0029800749958271
MiniLM,conclusion_to_results_alignment,log_n_Methods,99,-0.0463437777851182,0.6487471368649181,-0.0784285718573849,0.4403315889740904
MiniLM,conclusion_to_results_alignment,log_n_sentences,99,0.1817061786927114,0.0718593192506305,0.166629708870242,0.0992635287835024
