embedding_model_label,n_Results,n_review,n_clinical,review_mean_within_results_similarity,clinical_mean_within_results_similarity,mean_difference_review_minus_clinical,cohens_d_review_minus_clinical
MPNet,2,7,10,0.288724553771317,0.4609607204794884,-0.1722361667081713,-0.6940984082134662
MPNet,3,7,16,0.3225738959653036,0.4426383391061487,-0.120064443140845,-0.7247688017397562
MPNet,4,14,6,0.3625322095606297,0.5087003165649043,-0.1461681070042745,-0.8944609295476266
MPNet,5,10,6,0.4037727008573711,0.3510068499793609,0.0527658508780102,0.4849762683217102
MPNet,6,9,6,0.3832220257018451,0.4097814004454347,-0.0265593747435896,-0.2147832486538934
MiniLM,2,7,10,0.2428789559219564,0.4353031575679779,-0.1924242016460214,-0.9905185468112224
MiniLM,3,7,16,0.2679191788747196,0.3949748018446067,-0.1270556229698871,-0.7986688639293764
MiniLM,4,14,6,0.3230314952809186,0.4785915960868199,-0.1555601008059013,-1.0306882299621996
MiniLM,5,10,6,0.3347024883423,0.3270282109268009,0.007674277415499,0.0704982251054678
MiniLM,6,9,6,0.3263010693369088,0.3979243775208791,-0.0716233081839702,-0.6125234900629334
