embedding_model_label,review_PMID,review_Title,clinical_PMID,clinical_Title,review_n_Results,clinical_n_Results,absolute_n_Results_difference,review_n_sentences,clinical_n_sentences,review_within_Results_similarity,clinical_within_Results_similarity,difference_review_minus_clinical
MPNet,32316357,Does Diabetes Induce the Vascular Endothelial Growth Factor (VEGF) Expression in Periodontal Tissues? A Systematic Review.,36414947,Effects of omega-3 supplementation as an adjunct to non-surgical periodontal therapy on periodontal parameters in periodontitis patients: a randomized clinical trial.,2,2,0,12,10,-0.0124206524342298,0.662718653678894,-0.6751393061131239
MPNet,39948158,The impact of e-cigarette use on periodontal health: a systematic review and meta-analysis.,27013640,Amoxicillin Plus Metronidazole Therapy for Patients with Periodontitis and Type 2 Diabetes: A 2-year Randomized Controlled Trial.,5,5,0,17,8,0.5114904135465622,0.3537694752216339,0.1577209383249283
MPNet,39248301,The impact of systemic and topical antimicrobial therapy combined with non-surgical periodontal therapy: A meta-analysis.,26811350,Periodontal disease and risk of all cancers among male never smokers: an updated analysis of the Health Professionals Follow-up Study.,4,4,0,13,15,0.2818767835075657,0.7799552182356516,-0.4980784347280859
MPNet,27454460,Root coverage procedures improve patient aesthetics. A systematic review and Bayesian network meta-analysis.,40631715,Evaluation of the periodontal status and systemic diseases in dental patients in Turkey.,3,3,0,8,12,0.2497248947620391,0.632129967212677,-0.3824050724506379
MPNet,26595831,Association of susceptible genotypes to periodontal disease with the clinical outcome and tooth survival after non-surgical periodontal therapy: A systematic review and meta-analysis.,28474968,Additive Effect of Plasma Rich in Growth Factors With Guided Tissue Regeneration in Treatment of Intrabony Defects in Patients With Chronic Periodontitis: A Split-Mouth Randomized Controlled Clinical Trial.,6,6,0,16,16,0.216466652477781,0.4428098271290461,-0.2263431746512651
MPNet,36261851,The effect of antiretroviral therapyon the periodontal conditions of patients with HIV infection: A systematic review and meta-analysis.,23866479,The relationship between periodontal disease severity and state-trait anxiety level.,9,8,1,16,15,0.403004290536046,0.518224097987903,-0.115219807451857
MPNet,41253726,"Depression is associated with periodontitis, dental caries and edentulism: A systematic review and meta-analysis of observational studies.",40604898,Frequency of periodontal disease in head and neck cancer patients after radiation therapy: a cross-sectional study.,7,7,0,12,19,0.3085888351003329,0.4471885664832024,-0.1385997313828694
MiniLM,32316357,Does Diabetes Induce the Vascular Endothelial Growth Factor (VEGF) Expression in Periodontal Tissues? A Systematic Review.,36414947,Effects of omega-3 supplementation as an adjunct to non-surgical periodontal therapy on periodontal parameters in periodontitis patients: a randomized clinical trial.,2,2,0,12,10,-0.0434607006609439,0.4364216327667236,-0.4798823334276675
MiniLM,39948158,The impact of e-cigarette use on periodontal health: a systematic review and meta-analysis.,27013640,Amoxicillin Plus Metronidazole Therapy for Patients with Periodontitis and Type 2 Diabetes: A 2-year Randomized Controlled Trial.,5,5,0,17,8,0.4965560510754585,0.2710180014371872,0.2255380496382713
MiniLM,39248301,The impact of systemic and topical antimicrobial therapy combined with non-surgical periodontal therapy: A meta-analysis.,26811350,Periodontal disease and risk of all cancers among male never smokers: an updated analysis of the Health Professionals Follow-up Study.,4,4,0,13,15,0.3125636180241902,0.7243883609771729,-0.4118247429529826
MiniLM,27454460,Root coverage procedures improve patient aesthetics. A systematic review and Bayesian network meta-analysis.,40631715,Evaluation of the periodontal status and systemic diseases in dental patients in Turkey.,3,3,0,8,12,0.2208860417207082,0.5701519449551901,-0.3492659032344818
MiniLM,26595831,Association of susceptible genotypes to periodontal disease with the clinical outcome and tooth survival after non-surgical periodontal therapy: A systematic review and meta-analysis.,28474968,Additive Effect of Plasma Rich in Growth Factors With Guided Tissue Regeneration in Treatment of Intrabony Defects in Patients With Chronic Periodontitis: A Split-Mouth Randomized Controlled Clinical Trial.,6,6,0,16,16,0.1832442626357078,0.4307608405749003,-0.2475165779391925
MiniLM,36261851,The effect of antiretroviral therapyon the periodontal conditions of patients with HIV infection: A systematic review and meta-analysis.,23866479,The relationship between periodontal disease severity and state-trait anxiety level.,9,8,1,16,15,0.3245007876410252,0.4939772372932306,-0.1694764496522054
MiniLM,41253726,"Depression is associated with periodontitis, dental caries and edentulism: A systematic review and meta-analysis of observational studies.",40604898,Frequency of periodontal disease in head and neck cancer patients after radiation therapy: a cross-sectional study.,7,7,0,12,19,0.2669146686260189,0.4147358918119044,-0.1478212231858854
