embedding_model_label,outcome,model_name,r_squared,adj_r_squared,aic,bic,n
MPNet,within_Results_similarity,M0_dataset_only,0.0604573152302035,0.0503547057165498,-71.55935549193663,-66.45160170873555,95
MPNet,within_Results_similarity,M1_dataset_plus_n_results,0.062869780532999,0.0424973844576294,-69.80360085775573,-62.1419701829541,95
MPNet,within_Results_similarity,M2_dataset_plus_total_sentences,0.0619370920903685,0.0415444201792895,-69.70909815500681,-62.04746748020519,95
MPNet,within_Results_similarity,M3_dataset_plus_n_results_and_total_sentences,0.0629919120267229,0.0321015355001312,-67.81598253937881,-57.60047497297664,95
MPNet,within_Results_similarity,M4_dataset_plus_n_results_and_n_methods,0.0649909777176854,0.034166504455631,-68.01887738664158,-57.80336982023941,95
MPNet,within_Results_similarity,M5_dataset_interaction_n_results,0.0804657186127226,0.0501514016439111,-69.60431839815351,-59.38881083175134,95
MPNet,within_Results_similarity,M6_log_counts,0.0631706786216529,0.0322861954992897,-67.83410879354057,-57.6186012271384,95
MiniLM,within_Results_similarity,M0_dataset_only,0.1124000476577296,0.1028559621486729,-93.42932464766454,-88.32157086446347,95
MiniLM,within_Results_similarity,M1_dataset_plus_n_results,0.1153895576055253,0.0961588958143411,-91.74983254590114,-84.08820187109953,95
MiniLM,within_Results_similarity,M2_dataset_plus_total_sentences,0.1124321670545058,0.0931372141643863,-91.43276245531224,-83.77113178051061,95
MiniLM,within_Results_similarity,M3_dataset_plus_n_results_and_total_sentences,0.1165667236771056,0.0874425497323947,-89.87633484009308,-79.66082727369091,95
MiniLM,within_Results_similarity,M4_dataset_plus_n_results_and_n_methods,0.1228220634701553,0.0939041095186219,-90.5513956104981,-80.33588804409594,95
MiniLM,within_Results_similarity,M5_dataset_interaction_n_results,0.1265762543154852,0.0977820648973143,-90.9588540068496,-80.74334644044744,95
MiniLM,within_Results_similarity,M6_log_counts,0.1170201416388113,0.0879109155389918,-89.92510565872237,-79.7095980923202,95
