Dataset,rhetorical_role,mean,std,count
Clinical,Aim,0.9855769230769232,0.0125890493245489,52
Clinical,Background,0.97327868852459,0.0180482050331336,61
Clinical,Conclusion,0.980909090909091,0.0151920299385867,99
Clinical,Limitation/Future,0.9766666666666666,0.0152752523165194,3
Clinical,Methods,0.9792574257425742,0.0264846349768623,202
Clinical,Results,0.9854237288135592,0.0081857763067544,177
Review,Aim,0.9845454545454544,0.0106836985235177,55
Review,Background,0.9629230769230768,0.0533772855752764,65
Review,Conclusion,0.9768421052631578,0.0196119788874714,114
Review,Limitation/Future,0.9795,0.0127630222456166,20
Review,Methods,0.9776410256410256,0.0275937830846373,195
Review,Results,0.9827830188679244,0.0153409928291953,212
