Metric,Review_mean,Clinical_mean,Review_SD,Clinical_SD,Mean_difference_Review_minus_Clinical,Cohens_d,Welch_t_p,Mann_Whitney_p,n_review,n_clinical
within_Results_similarity,0.3055750579843228,0.4087523182936005,0.1284778452417812,0.1634526283616086,-0.1031772603092776,-0.7045323406513088,0.0010069460109196,0.001346365047901,49,46
conclusion_to_results_alignment,0.6070645785331726,0.5128438934987906,0.1397507579005932,0.1525677918648064,0.094220685034382,0.6443158858130313,0.0018497751740217,0.0013327554368945,50,49
methods_to_aim_alignment,0.4763302535135695,0.559597083595064,0.1851179362005814,0.1087705476535701,-0.0832668300814944,-0.5455091144249011,0.0099820405976717,0.0225635148807284,47,45
results_to_aim_alignment,0.539732648654187,0.4504451867606904,0.1478184788471614,0.1900754381256948,0.0892874618934965,0.5258499515210997,0.0140994670502758,0.0127156175788331,47,45
n_sentences,13.22,11.88,2.6518380225721154,2.6698620311368386,1.34,0.503595580720391,0.0134233200359998,0.0109182760361163,50,50
mean_label_confidence,0.9777034546018136,0.9815471656310664,0.0098280124586932,0.006828710416279,-0.0038437110292527,-0.4542157639934726,0.0256000111610305,0.017706376832122,50,50
final_similarity_to_opening_anchor,0.5135875276476145,0.446718133194372,0.1778303248174641,0.1689513167508881,0.0668693944532424,0.3855307118154301,0.0568011248969994,0.0557435699571505,50,50
local_discontinuity_burden,0.1486036789148244,0.1723787539429954,0.0823303931007665,0.0695933898010846,-0.023775075028171,-0.3118926742512215,0.1221996094116514,0.0918287422809997,50,50
conclusion_plus_future_to_background_plus_aim_alignment,0.6371060371398926,0.6003099613043726,0.1482764242495327,0.154169873730118,0.0367960758355199,0.2433257218596697,0.2292345671002952,0.1894436731738212,50,49
conclusion_to_background_plus_aim_alignment,0.6290589824318886,0.5989523219818972,0.1447499719303111,0.1550189209987203,0.0301066604499914,0.2008189047417967,0.3206310294370751,0.2410943693057311,50,49
mean_local_similarity,0.3134045140870968,0.3295732254067809,0.0847741501875394,0.1038068173804941,-0.0161687113196841,-0.170610938050735,0.3957919835172627,0.2510424623996106,50,50
within_role_discontinuity_burden,0.0793862742005156,0.089601774816171,0.0664605738924844,0.0615291788840338,-0.0102155006156554,-0.159511620487203,0.4270666176160734,0.2376679563367905,50,50
local_similarity_volatility,0.2230995366981278,0.2131118250903867,0.0613271748388287,0.065072719538034,0.009987711607741,0.1579642057916833,0.4315458866330753,0.569532503257159,50,50
mean_similarity_to_own_role_anchor_loo,0.3756210255929112,0.3899718207828803,0.0904436960042995,0.1180881986679307,-0.014350795189969,-0.1364427471808205,0.4968221599171565,0.446199021782605,50,50
mean_similarity_to_opening_anchor,0.4534446278464508,0.4662610880736675,0.0923772285511734,0.0961084177147072,-0.0128164602272167,-0.1359673805315076,0.498213011798457,0.7020111769696078,50,50
within_Methods_similarity,0.2459303425985186,0.2617135885434853,0.1169557615594638,0.1239248939136862,-0.0157832459449666,-0.1310720185752029,0.5229693890204193,0.8259672494705576,49,47
min_local_similarity,0.0211115223541855,0.0332618886139243,0.0722276023991534,0.1262695333628503,-0.0121503662597388,-0.1181239889632894,0.556483347985426,0.5147457320739065,50,50
conclusion_to_aim_alignment,0.6314332694449323,0.6173654205419801,0.1454977948492076,0.1763060822581154,0.0140678489029522,0.0873129103659394,0.6802230187314919,0.6140455196515036,47,44
results_to_methods_alignment,0.5452330303192139,0.5562804444134235,0.1218218223848753,0.1346068581536128,-0.0110474140942096,-0.0860567440738859,0.6679433664027254,0.5836516113073977,50,50
